4.091,11:57:15,2016-12-26,2,1
4.383,11:59:08,2016-12-26,3,1
4.424,12:01:02,2016-12-26,4,1
4.399,12:02:58,2016-12-26,5,1
4.643,12:04:52,2016-12-26,1,2
4.635,12:06:46,2016-12-26,2,2
4.620,12:08:39,2016-12-26,3,2
4.658,12:10:34,2016-12-26,4,2
4.653,12:12:29,2016-12-26,5,2
6.955,12:14:24,2016-12-26,3,0
4.063,12:16:20,2016-12-26,4,0
3.755,17:55:23,2016-12-26,1,1
3.710,17:57:15,2016-12-26,2,1
3.788,17:59:07,2016-12-26,3,1
3.819,18:01:02,2016-12-26,4,1
3.778,18:02:57,2016-12-26,5,1
3.927,18:04:52,2016-12-26,1,2
3.957,18:06:46,2016-12-26,2,2
3.950,18:08:39,2016-12-26,3,2
3.941,18:10:34,2016-12-26,4,2
4.077,18:12:29,2016-12-26,5,2
6.942,18:14:24,2016-12-26,3,0
4.055,18:16:19,2016-12-26,4,0
3.808,23:55:23,2016-12-26,1,1
3.715,23:57:15,2016-12-26,2,1
3.778,23:59:08,2016-12-26,3,1
3.784,00:01:02,2016-12-27,4,1
3.790,00:02:58,2016-12-27,5,1
3.904,00:04:52,2016-12-27,1,2
3.977,00:06:46,2016-12-27,2,2
3.970,00:08:39,2016-12-27,3,2
3.996,00:10:34,2016-12-27,4,2
4.130,00:12:29,2016-12-27,5,2
6.958,00:14:24,2016-12-27,3,0
4.048,00:16:20,2016-12-27,4,0
3.780,05:55:23,2016-12-27,1,1
3.685,05:57:15,2016-12-27,2,1
3.723,05:59:08,2016-12-27,3,1
3.727,06:01:02,2016-12-27,4,1
3.761,06:02:58,2016-12-27,5,1
3.996,06:04:53,2016-12-27,1,2
3.978,06:06:46,2016-12-27,2,2
4.003,06:08:40,2016-12-27,3,2
4.035,06:10:34,2016-12-27,4,2
4.068,06:12:30,2016-12-27,5,2
6.960,06:14:25,2016-12-27,3,0
4.034,06:16:20,2016-12-27,4,0
3.865,11:55:24,2016-12-27,1,1
3.873,11:57:15,2016-12-27,2,1
3.888,11:59:08,2016-12-27,3,1
3.905,12:01:02,2016-12-27,4,1
3.929,12:02:58,2016-12-27,5,1
4.151,12:04:53,2016-12-27,1,2
3.967,12:06:46,2016-12-27,2,2
4.018,12:08:40,2016-12-27,3,2
4.049,12:10:34,2016-12-27,4,2
4.066,12:12:30,2016-12-27,5,2
6.949,12:14:25,2016-12-27,3,0
4.033,12:16:20,2016-12-27,4,0
3.860,17:55:14,2016-12-27,1,1
4.018,17:57:05,2016-12-27,2,1
4.064,17:58:58,2016-12-27,3,1
4.104,18:00:52,2016-12-27,4,1
4.110,18:02:48,2016-12-27,5,1
4.133,18:04:43,2016-12-27,1,2
4.074,18:06:36,2016-12-27,2,2
4.060,18:08:30,2016-12-27,3,2
4.066,18:10:24,2016-12-27,4,2
4.049,18:12:20,2016-12-27,5,2
6.982,18:14:15,2016-12-27,3,0
4.021,18:16:10,2016-12-27,4,0
3.874,23:55:24,2016-12-27,1,1
3.880,23:57:15,2016-12-27,2,1
3.886,23:59:08,2016-12-27,3,1
3.845,00:01:02,2016-12-28,4,1
3.852,00:02:58,2016-12-28,5,1
3.828,00:04:53,2016-12-28,1,2
3.828,00:06:47,2016-12-28,2,2
3.844,00:08:40,2016-12-28,3,2
3.861,00:10:34,2016-12-28,4,2
3.856,00:12:30,2016-12-28,5,2
6.879,00:14:25,2016-12-28,3,0
4.015,00:16:20,2016-12-28,4,0
3.994,05:55:14,2016-12-28,1,1
3.927,05:57:06,2016-12-28,2,1
4.004,05:58:58,2016-12-28,3,1
4.036,06:00:52,2016-12-28,4,1
4.017,06:02:48,2016-12-28,5,1
4.000,06:04:43,2016-12-28,1,2
3.982,06:06:37,2016-12-28,2,2
3.985,06:08:30,2016-12-28,3,2
4.000,06:10:24,2016-12-28,4,2
4.015,06:12:20,2016-12-28,5,2
6.876,06:14:15,2016-12-28,3,0
4.022,06:16:10,2016-12-28,4,0
